ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:295(ForkServerProcess)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:310(ForkServerContext)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/process.py:397(_MainProcess)
5,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/reduction.py:43(register)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:130(Semaphore)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:149(BoundedSemaphore)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:166(Lock)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:191(RLock)
1,0.000,0.000,0.009,0.009,/usr/lib/python3.11/multiprocessing/__init__.py:1(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/reduction.py:33(ForkingPickler)
14,0.000,0.000,0.000,0.000,{method 'acquire' of '_multiprocessing.SemLock' objects}
14,0.000,0.000,0.000,0.000,{method 'release' of '_multiprocessing.SemLock' objects}
90,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Link.py:59(get_link)
2,0.000,0.000,0.000,0.000,{built-in method fcntl.ioctl}
23253,0.021,0.000,0.035,0.000,{built-in method _heapq.heappush}
8304,0.021,0.000,0.040,0.000,{built-in method _heapq.heappop}
3464,0.000,0.000,0.000,0.000,{built-in method unicodedata.east_asian_width}
5,0.000,0.000,0.000,0.000,{built-in method now}
3,0.000,0.000,0.000,0.000,{built-in method fromtimestamp}
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/network.py:7(is_connected)
2,0.000,0.000,0.001,0.001,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:333(_screen_shape_linux)
1,0.012,0.012,0.515,0.515,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:124(__run_loop)
4094,0.013,0.000,0.132,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Link.py:30(transmit)
10,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Block.py:154(__init_genesis_block)
8304,0.007,0.000,0.012,0.000,/usr/lib/python3.11/queue.py:97(empty)
15001,0.013,0.000,0.022,0.000,/usr/lib/python3.11/queue.py:92(qsize)
4090,0.014,0.000,0.046,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/DiscreteEventSim.py:75(description)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/tempfile.py:153(__next__)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:110(__enter__)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:113(__exit__)
6,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:226(__init__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:156(__init__)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:112(__format__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:370(_term_move_up)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:222(__eq__)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:187(disable_on_exception)
4,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:139(__getattr__)
8,0.000,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:457(print_status)
16,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/utils.py:273(_is_ascii)
4074,0.007,0.000,0.131,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:118(receive_msg)
45,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Link.py:46(__init__)
694,0.000,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Block.py:291(add_transaction)
4090,0.004,0.000,0.016,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Link.py:17(__get_delay)
70,0.000,0.000,0.003,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:100(__create_txn)
10,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:40(__calculate_cpu_power)
4094,0.003,0.000,0.135,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/Peer.py:84(__forward_msg_to_peer)
